United Arab Emirates	ARE	NA	NA	NA	NA	NA	NA	NA	4	7	7	15	18	31	20	71	30	265	308	256	414	424	486	584	90	90	99
United Kingdom	GBR	1	1	1	2	108	77	73	79	92	106	113	109	164	149	144	135	174	201	185	156	153	150	153	142	141	131
United States	USA	1	8	10	12	366	245	143	75	51	41	176	219	383	395	451	683	1356	2174	2137	2368	3026	3778	4456	4761	4987	4832
Uruguay	URY	842	601	429	162	362	262	201	89	74	39	51	46	61	57	81	111	163	197	199	188	186	184	171	146	124	91
Uzbekistan	UZB	NA	NA	NA	2	29060	143	69747	69069	51729	45533	3628	3458	6881	7391	7288	8323	9102	5663	6308	6669	8840	12664	11593	4965	4795	4205
Venezuela, RB	VEN	NA	1	4	135	371	476	557	608	570	556	471	466	526	598	1256	2590	3829	5094	5807	6221	6701	7577	8208	8395	8009	7456
Vietnam	VNM	496029	498323	517111	527627	539101	543541	518340	476795	435437	405377	370758	353224	373741	363179	349780	358268	374279	327776	328183	339289	338698	337829	336939	314105	313418	313156
West Bank and Gaza	PSE	8521	65177	95343	81474	82564	72768	80215	76821	77524	100602	110640	349161	428782	350568	350617	349673	334142	341237	340016	95201	93323	94150	94918	96044	97212	97973
Yemen, Rep.	YEM	8	73	31	39	150	369	1154	1721	1935	2022	2113	1985	1600	1597	1606	1325	1362	1632	1777	1934	2076	2323	2594	2428	2631	15896
Zambia	ZMB	1	1	1990	1574	16	20	40	63	77	87	98	62	92	100	124	151	203	196	195	206	228	240	243	232	316	344
Zimbabwe	ZWE	4	128	9	17	42	36	34	38	42	43	109	257	4030	7162	9568	11251	12782	14374	16841	22449	24089	25048	22101	19681	22492	21344
