Costa Rica	CRI	NA	1	5	5	223	211	139	90	54	76	57	86	98	92	138	178	284	361	354	344	352	331	325	462	417	379
Cote d'Ivoire	CIV	2	13	34	41	98	201	268	360	537	562	773	858	23741	33637	23655	18338	26315	22232	22227	23153	41758	154824	100720	85729	71966	71105
Croatia	HRV	NA	NA	168571	151688	76256	245572	310088	349307	338089	353725	335199	290279	274818	230189	215475	119148	93767	100423	97012	76478	65861	62649	62606	49760	40122	33451
Cuba	CUB	13523	17615	21273	22406	23316	24854	25462	24913	23559	23328	20084	18959	18043	16093	15659	19000	33580	7503	7938	7549	7477	7856	7731	7428	7502	6862
Cyprus	CYP	11	NA	NA	NA	6	9	10	8	11	16	11	5	7	5	2	5	5	9	10	11	13	11	11	10	10	4
Czech Republic	CZE	6123	4491	3327	5015	4648	2039	977	698	1934	1243	810	1179	6984	6702	4542	3589	2138	1384	1358	1067	817	763	622	991	1327	1285
Denmark	DNK	NA	NA	NA	NA	11	18	34	33	28	25	25	3	8	10	10	12	12	14	11	10	9	9	9	10	12	9
Djibouti	DJI	5	10	11	38	18068	18095	18101	8142	3219	1879	1910	452	471	522	495	504	486	648	650	622	566	602	640	762	879	1069
Dominica	DMA	NA	NA	NA	NA	NA	NA	1	1	1	3	2	5	6	17	25	30	49	58	56	53	52	52	54	43	38	38
Dominican Republic	DOM	NA	NA	NA	1	29	30	29	47	42	45	47	46	83	92	97	67	150	358	318	230	246	250	289	306	349	382
Ecuador	ECU	3	27	40	47	174	206	221	217	512	496	671	653	822	730	727	775	887	1332	1066	1027	852	909	844	707	804	1010
Egypt, Arab Rep.	EGY	48	97	209	258	502	872	1202	1722	2612	3491	3953	4678	6443	5735	5376	6291	7613	6799	6780	6990	6913	7936	10020	12834	15903	17930
El Salvador	SLV	30019	33049	30855	26124	30735	23535	19639	17126	12591	12410	7756	7150	6632	5658	4497	4281	6388	6022	5151	5051	4976	6720	8171	9638	10965	14778
Equatorial Guinea	GNQ	NA	60	114	214	342	343	397	473	420	429	509	529	552	591	552	477	461	407	384	344	305	258	228	200	174	172
Eritrea	ERI	43	500633	503200	427213	422433	286712	332225	319077	346781	347138	376851	333229	318176	124121	131131	144066	193745	208748	186398	209168	222460	251954	285371	308022	363092	411342
Estonia	EST	NA	2	59	95	297	351	1310	1266	792	633	455	479	1060	1027	855	743	626	262	248	248	240	224	456	352	339	318
Ethiopia	ETH	1345928	251241	313129	251828	226436	100987	96270	84401	70680	71055	66410	58997	61240	62677	63150	65461	74026	59858	63878	62889	68848	70610	74968	77118	86870	85834
Fiji	FJI	1	1	19	89	156	222	305	326	301	328	401	731	1072	1087	1281	1379	1685	1828	1868	1892	1851	1579	1317	1112	924	883
Finland	FIN	NA	NA	NA	NA	NA	1	1	2	6	6	5	2	9	7	3	5	6	4	4	6	6	7	7	8	7	8
France	FRA	NA	NA	NA	NA	20	15	44	61	64	63	78	44	90	110	110	286	82	101	101	87	92	99	100	98	93	94
Gabon	GAB	NA	NA	17	18	22	25	24	19	28	26	26	27	37	39	53	81	95	116	129	144	165	173	183	177	172	177
Gambia, The	GMB	4	15	24	26	30	161	310	421	570	677	750	734	861	746	684	1683	1254	1267	1352	1973	2242	2583	3076	3434	5136	8491
Georgia	GEO	NA	NA	NA	6012	5117	308	48489	47164	35669	29878	21821	17498	16975	12497	6633	7301	6340	11810	12598	15020	10640	10112	9261	6772	6681	6498
Germany	DEU	NA	4	4	8	449	386	420	443	688	1298	1183	1033	928	725	78	78	114	129	166	170	164	174	182	175	176	161
Ghana	GHA	4691	4701	4776	4473	14289	13592	15095	14775	13633	13293	14775	14556	15686	15879	14767	18433	9960	5063	13242	14893	20203	20361	24298	21378	22145	22978
Gibraltar	GIB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	2	2	2	2	2	2
Greece	GRC	16	6	1	1	94	222	250	178	174	164	125	97	301	270	224	331	91	92	67	62	51	56	51	92	113	112
Grenada	GRD	4	4	1	NA	3	6	11	12	20	36	24	53	73	77	99	152	202	297	312	333	345	323	316	330	324	270
Guatemala	GTM	47988	52587	53941	50267	49610	42899	40342	37508	32747	28082	20711	16867	13888	6696	4376	3379	6496	6161	5934	5768	5679	6088	6388	6615	7483	10284
Guinea	GIN	NA	2	19	31	106	441	523	648	924	1151	1497	2019	3418	3871	4782	5820	6840	8278	9495	10920	11985	13161	14061	14594	15252	17005
Guinea-Bissau	GNB	5003	5006	5008	5011	5015	830	856	868	8887	3185	886	927	986	975	1018	1050	1004	1028	1065	1109	1127	1123	1180	1236	1307	1471
Guyana	GUY	2	1	2	4	71	62	55	38	41	49	36	36	49	78	194	406	537	677	708	727	749	771	801	800	700	511
Haiti	HTI	2092	1858	2486	3866	9803	13925	15118	15481	13538	8766	7561	7248	7718	7547	9208	13542	20837	22280	23066	24116	25892	33661	38568	38660	37162	34774
Honduras	HND	18	21	41	448	1214	1219	1259	1246	1101	1070	903	781	673	604	484	535	1035	1236	1116	1166	1302	1966	2613	3301	4159	6844
Hong Kong SAR, China	HKG	NA	NA	2	2	261	205	105	50	42	20	13	7	5	9	8	NA	10	11	11	12	17	15	19	25	25	33
Hungary	HUN	5767	4733	3993	5016	4471	2348	3083	2669	1242	800	518	953	3517	3395	2749	3519	3118	3386	1614	1537	1438	1238	1087	1220	1267	1443
Iceland	ISL	NA	NA	NA	NA	NA	NA	4	5	5	5	5	NA	13	12	10	7	31	7	7	4	4	3	3	2	1	0
India	IND	198	408	1019	1492	3263	5011	7550	8924	9663	9845	11399	11571	14349	13706	13345	16285	17811	20466	19569	19514	17769	16232	14258	11042	10436	9881
Indonesia	IDN	7169	6164	6829	7924	8726	9836	11365	8799	9053	9020	9149	8970	9906	16240	27919	34384	34728	20558	19345	18213	16892	16079	15523	14786	14408	13956
Iran, Islamic Rep.	IRN	75889	130366	128781	115523	121287	112364	104129	93993	89979	86855	88278	92491	138364	122530	115162	99428	102483	68397	69061	72774	68791	72361	75940	75043	82191	84949
Iraq	IRQ	1133805	1321853	1343824	771077	749834	718719	714730	707338	675030	642886	526179	530511	422512	368580	311884	262299	1450905	2309245	1903519	1785212	1683579	1428308	746206	401417	369954	264107
Ireland	IRL	NA	NA	NA	NA	3	2	2	1	NA	NA	3	3	7	6	3	21	4	10	7	7	8	8	9	9	10	9
Israel	ISR	16	28	40	118	887	937	1126	987	835	478	416	363	564	625	672	632	882	1541	1494	1310	1301	1335	1340	1043	979	802
Italy	ITA	NA	NA	1	3	146	121	112	112	79	52	48	34	224	207	192	217	105	90	62	45	50	58	66	66	67	70
Jamaica	JAM	NA	NA	NA	3	7	10	18	21	27	33	37	37	147	259	350	489	660	766	826	909	1057	1250	1407	1503	1692	1868
Japan	JPN	NA	NA	NA	NA	7	3	2	2	3	3	5	5	19	19	21	13	168	521	185	150	152	176	172	157	262	145
Jordan	JOR	55	112	183	242	443	513	708	719	899	973	919	775	1287	1162	1169	1789	1604	1787	1890	2129	2254	2250	2368	1632	1718	1841
Kazakhstan	KAZ	NA	NA	1	2	27	139	40163	40774	20459	9057	2537	2803	6315	6559	6121	4316	7376	5235	4825	3744	3632	3500	3571	2136	2224	2267
Kenya	KEN	10	33	63	85	8774	9327	9390	9570	6046	6138	2373	2559	3098	3163	3847	4640	5356	7546	9688	9620	8602	8745	8950	8589	8553	7906
Kiribati	KIR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	16	32	33	41	38	38	33	33	33	33	20	3	2
Korea, Dem. People’s Rep.	PRK	NA	NA	NA	NA	3	7	11	1	9	13	13	19	259	304	343	288	397	605	886	881	917	1052	1132	1166	1282	1103
Korea, Rep.	KOR	NA	5	5	7	17	30	42	48	65	75	73	83	245	237	272	268	1335	1188	1104	573	585	514	558	500	481	351
Kuwait	KWT	44	47	74	89	756	762	854	825	830	992	692	701	709	616	398	381	617	746	854	938	988	1120	1197	977	981	1085
Kyrgyz Republic	KGZ	NA	NA	NA	1	14	22	17118	16320	7449	4003	748	685	2950	3141	3292	3122	2488	2254	2517	2612	2744	3162	3489	2311	2451	2502
Lao PDR	LAO	135633	122326	96157	74501	54896	58193	46909	37367	29017	21396	16094	12631	11235	10363	16114	24442	26447	10013	8598	8398	8414	8088	7984	7745	7482	7363
Latvia	LVA	NA	NA	4	4	93	160	1958	1915	1013	907	491	619	3082	3177	2826	2430	1424	662	763	791	713	709	662	233	213	193
Lebanon	LBN	6993	8501	10257	10635	15654	13515	10890	10235	9786	7685	10215	8763	26320	24932	19866	18323	12252	13094	12967	16260	15869	15013	15106	3824	4273	4369
Lesotho	LSO	NA	NA	NA	NA	NA	NA	2	3	3	3	4	1	4	6	7	6	9	7	8	10	11	11	13	15	17	17
Liberia	LBR	735689	673435	520915	704051	797835	744637	784008	493340	365398	294694	266930	244608	275422	353344	335467	231139	160548	91540	75213	71599	70129	66780	23428	17576	13572	9994
Libya	LBY	581	840	686	597	672	624	281	274	433	568	619	888	1456	1570	1720	1575	1573	1954	2084	2202	2309	4384	5251	3322	4203	6085
Lithuania	LTU	4	4	8	11	63	109	662	649	282	258	163	216	1371	1541	1482	1448	942	466	490	501	515	528	491	220	183	144
Macao SAR, China	MAC	NA	NA	NA	NA	NA	NA	1	1	1	1	6	8	15	15	20	9	9	9	9	9	10	10	1	1	5	5
Macedonia, FYR	MKD	NA	NA	NA	1897	347	12883	13041	12747	1939	2089	2176	12197	8107	5982	5106	8600	7940	8077	7521	7926	7889	7684	7589	1633	1759	1776
Madagascar	MDG	NA	1	1	1	3	79	79	76	66	54	54	40	53	88	135	203	260	284	277	274	270	289	301	296	281	286
Malawi	MWI	53	50	50	44	60	37	39	34	28	34	33	25	48	59	94	101	113	97	106	130	171	222	277	326	361	426
Malaysia	MYS	NA	3	4	4	82	79	103	87	90	86	82	79	119	239	292	394	584	615	608	532	552	537	531	485	468	438
Maldives	MDV	1	1	NA	NA	NA	NA	1	1	2	3	4	3	3	1	3	13	17	17	16	16	19	21	24	31	36	42
Mali	MLI	1	14704	71189	98572	172905	77219	55198	18015	3702	387	364	311	531	461	483	520	594	4494	1758	2926	3663	4295	149943	152864	139267	154211
Malta	MLT	1	1	1	NA	7	13	18	14	17	22	16	7	8	7	3	5	28	9	9	9	6	6	6	6	5	1
Mauritania	MRT	65999	79881	79594	67894	68043	84312	83234	70294	70224	29948	29752	29862	30137	30525	31131	31651	33428	33108	45601	39143	37733	39929	33765	34257	34113	34664
Mauritius	MUS	NA	NA	NA	NA	1	13	13	3	15	8	35	35	43	61	19	27	80	71	24	23	28	42	62	81	94	103
Mexico	MEX	NA	NA	NA	NA	248	361	520	665	1016	1359	1291	1594	1670	1652	1744	2313	3304	5572	6162	6435	6816	7472	8435	9396	10666	11333
Moldova	MDA	NA	NA	NA	6	458	529	5829	5141	2754	2407	2657	3737	10130	11146	11937	12064	11680	4918	5555	5925	6200	6264	6148	2207	2233	2289
Mongolia	MNG	1	1	1	1	4	4	7	9	19	25	23	60	280	324	442	654	868	1101	1333	1495	1724	1985	2114	2064	2163	2199
Montenegro	MNE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	135	557	1283	2582	3246	3698	4054	597	607	651
Morocco	MAR	15	44	91	105	180	301	297	310	353	377	392	363	1269	1291	1319	2920	4710	4039	3533	2286	2284	2312	2407	1318	1539	1771
Mozambique	MOZ	1247992	1316636	1445474	1172550	234497	125562	34657	33652	59	35	30	46	130	111	104	104	231	222	208	136	131	155	160	56	58	57
Myanmar	MMR	28	40053	245130	281574	204510	152298	143017	135772	133407	131663	137128	145856	148501	151384	161013	164864	202826	191313	184413	406669	415670	414626	415371	479608	479006	451807
Namibia	NAM	532	204	15	133	65	13	12	2	1902	701	2308	2297	1302	1293	1314	1226	1203	1128	985	921	1017	1073	1098	1142	1253	1476
Nepal	NPL	NA	NA	1	1	4	27	44	52	101	186	235	306	902	1231	1416	2065	2647	3364	4189	5108	5889	6854	7612	8112	8563	8866
Netherlands	NLD	NA	NA	NA	NA	75	85	96	77	57	29	15	4	30	44	48	159	39	43	46	44	53	64	71	64	68	69
New Zealand	NZL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	3	4	8	13	10	10	15	18	20	17	17	19
Nicaragua	NIC	52618	46789	44275	33052	28591	23938	22820	22494	21389	20573	5071	4399	4050	3983	1822	1463	1828	1900	1537	1478	1431	1468	1531	1538	1587	1476
Niger	NER	NA	2	22008	22307	22024	10291	10361	2788	423	514	493	483	834	728	689	655	818	827	796	822	803	819	832	733	739	1390
Nigeria	NGA	16	23	76	100	592	1939	4754	3059	3999	4441	5742	6084	24572	24428	23892	22128	13253	13904	14169	15609	15642	17141	18021	31664	90947	167988
Norway	NOR	NA	NA	NA	NA	2	1	1	3	4	4	4	3	5	6	5	15	4	3	4	4	7	7	9	13	13	12
Oman	OMN	NA	NA	NA	NA	3	10	10	10	11	11	5	5	19	11	18	12	39	43	56	64	63	60	65	26	29	37
Pakistan	PAK	486	525	1086	1422	4430	5277	7502	5985	6864	8015	10133	12324	23163	24389	25949	29913	25639	31858	32403	35132	39982	35952	49785	48867	335961	297835
Panama	PAN	629	640	652	677	486	160	149	122	85	72	67	37	44	30	40	42	75	109	111	105	100	100	107	105	89	69
Papua New Guinea	PNG	NA	NA	NA	NA	NA	2000	2008	808	220	9	8	8	16	18	18	23	31	36	46	70	89	128	174	221	288	339
Paraguay	PRY	19	8	9	14	63	51	44	20	21	18	19	8	31	32	37	44	105	102	101	77	86	91	101	95	94	91
Peru	PER	256	475	727	1970	4332	5904	6696	6610	7066	7206	6944	6502	6430	5581	4769	4865	6985	7743	7339	6271	5834	5491	5212	4765	4343	3599
Philippines	PHL	10	15	46	113	436	516	598	525	45598	45520	45482	45467	45608	412	434	465	886	1552	1354	993	970	952	986	726	670	593
Poland	POL	25632	21643	14518	13390	35938	19732	12869	7294	1880	1245	865	3191	16712	15211	10677	19641	13513	2915	2391	2059	1764	1815	1640	1429	1310	1297
Portugal	PRT	NA	NA	NA	NA	25	25	217	213	18	15	23	17	62	55	47	74	25	32	36	31	30	28	32	32	31	28
Qatar	QAT	NA	NA	NA	NA	49	30	18	19	23	8	1	NA	8	13	10	11	52	62	71	68	112	95	124	17	21	20
Romania	ROU	51282	27177	25118	23572	22278	16978	11871	8951	10921	8558	7348	6052	8847	8387	5916	11502	7234	5306	4756	4358	3934	3428	2807	2329	1918	1735
Russian Federation	RUS	117736	155576	213802	243312	251393	207034	173723	198063	172730	28314	40310	45156	91626	96420	107975	103037	159381	93224	103061	109455	111948	109785	110588	74357	70562	67050
Rwanda	RWA	361322	431240	434736	450462	2257573	1819366	469136	68003	77743	88944	119056	84513	75257	75263	63812	100264	92966	80964	72530	129109	115524	106833	97373	83937	79408	286366
San Marino	SMR	NA	NA	NA	NA	NA	NA	NA	2	4	4	4	NA	3	1	1	1	2	2	1	1	2	1	1	1	1	1
Sao Tome and Principe	STP	1	1	1	1	30	36	49	43	42	30	25	23	39	42	39	24	32	33	35	33	33	33	32	31	22	22
Saudi Arabia	SAU	NA	NA	NA	7	183	260	242	358	362	233	77	35	109	236	214	151	617	753	712	633	667	745	818	584	630	701
Senegal	SEN	60006	25138	15466	22601	25622	17592	17631	17163	9716	11606	11088	8559	12069	8351	8332	8671	15163	15896	16006	16305	16267	17722	18724	19884	23118	21280
Serbia	SRB	1745	45823	90081	58253	54976	86120	103967	106654	115292	172509	146748	144231	327587	296632	236999	189989	174027	165643	185935	195626	183289	161671	158908	48693	45733	38637
Seychelles	SYC	60	69	54	28	553	339	138	33	39	29	23	13	44	38	44	40	61	55	53	49	49	42	29	26	25	20
Sierra Leone	SLE	9	142614	253592	311183	275302	379495	375104	329327	406077	490061	402807	179113	141475	70580	41802	40477	42863	32127	32536	15417	11275	8002	6202	5320	4993	4895
Singapore	SGP	NA	NA	1	1	9	9	19	22	23	25	22	16	39	35	36	39	111	116	109	80	76	67	68	65	59	54
Slovak Republic	SVK	NA	NA	NA	NA	12	26	57	70	143	178	220	191	595	667	619	791	741	342	331	334	158	269	239	323	319	326
Slovenia	SVN	NA	NA	NA	28429	14829	12860	3368	3414	3302	3295	3284	765	858	610	582	155	1760	52	52	39	38	32	34	28	26	23
Solomon Islands	SLB	NA	NA	NA	NA	NA	34	34	34	34	34	34	42	54	60	61	27	38	48	52	66	75	72	61	61	70	71
Somalia	SOM	470174	732594	812195	574617	631426	638698	636985	608094	557959	524613	475655	440134	432316	402336	389314	395553	464038	457356	561155	678309	770154	1077048	1136719	1121738	1106434	1123052
South Africa	ZAF	14783	11206	9241	9094	1514	488	290	244	188	193	168	123	275	288	272	268	510	474	453	384	380	429	420	423	424	449
South Sudan	SSD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	87009	114467	616211	778697
Spain	ESP	NA	NA	NA	NA	42	36	218	215	60	53	80	48	58	53	49	49	2444	41	27	34	42	43	52	56	60	59
Sri Lanka	LKA	208271	209349	128115	91845	114456	107589	109578	122287	114976	116709	124160	122420	133239	122010	114050	108139	116966	134952	137752	145721	141074	136617	132731	123088	122010	121435
St. Kitts and Nevis	KNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	31	2	2	4	4	7	9	12	15	23	28
St. Lucia	LCA	NA	NA	NA	NA	NA	2	2	3	5	9	11	9	10	16	34	99	163	227	288	314	334	433	566	710	922	1011
St. Vincent and the Grenadines	VCT	NA	NA	NA	NA	7	7	13	13	24	36	48	67	81	105	181	279	387	646	750	849	946	1127	1316	1535	1736	1823
Sudan	SDN	523998	196242	267767	393871	405135	445280	475305	364589	390013	485460	494363	489950	508877	606242	730650	693632	686311	523032	419248	368195	387288	500014	568943	649331	665967	628770
Suriname	SUR	6620	5921	2545	893	915	817	754	663	491	411	334	237	103	70	51	29	66	63	50	45	25	20	15	17	17	19
Swaziland	SWZ	NA	NA	NA	1	13	15	17	20	30	28	16	15	19	5	14	13	22	25	32	32	36	43	65	109	161	220
Sweden	SWE	NA	NA	NA	NA	11	25	38	40	41	31	18	5	28	32	29	75	16	16	15	19	25	24	20	17	18	16
Switzerland	CHE	NA	NA	NA	NA	8	27	33	55	77	91	70	61	56	35	12	16	36	31	32	18	19	20	17	15	19	17
Syrian Arab Republic	SYR	2148	3037	4408	5404	7087	7994	8609	8653	8126	6695	5871	4869	18913	20819	21439	16401	12337	13690	15211	17914	18452	19931	729022	2468369	3887491	4872585
Tajikistan	TJK	NA	NA	60008	70108	57144	58956	107503	75878	56349	45167	59940	56108	63267	58936	56780	54753	645	894	544	562	577	612	674	661	725	794
Tanzania	TZA	8	11	20	32	62	68	65	66	102	118	313	378	580	711	985	1549	1667	1255	1270	1204	1144	1163	1122	1040	858	6221
Thailand	THA	20	30	35	36	137	211	284	272	295	318	217	94	344	296	319	424	3325	2325	1815	502	356	368	381	222	233	222
Timor-Leste	TLS	NA	NA	NA	NA	NA	NA	NA	NA	NA	162472	122202	73042	28097	127	221	251	251	6	7	7	8	8	9	10	13	20
Togo	TGO	6	18	106	291060	167871	93155	25593	7187	3506	3692	4016	4354	10448	10614	10819	51107	27332	22502	16750	18378	18330	17871	15693	10347	9276	8785
Tonga	TON	NA	NA	NA	NA	NA	NA	3	3	2	2	3	1	8	12	5	4	6	5	7	5	6	10	13	18	22	24
Trinidad and Tobago	TTO	1	1	1	1	13	14	16	21	26	25	24	16	35	38	41	63	153	211	231	240	255	297	333	336	371	369
Tunisia	TUN	42	63	86	104	212	333	406	698	932	1240	1207	1368	2543	2563	2518	3129	2845	2507	2349	2260	2174	1952	1935	1371	1485	1568
Turkey	TUR	5508	6452	10089	16768	28873	44866	50354	47341	45019	44012	47155	47090	193704	185098	174574	170567	227232	221939	214378	146387	146794	139779	135372	66607	63892	59559
Turkmenistan	TKM	NA	NA	NA	NA	7	47	2937	3181	1562	1051	300	310	801	840	812	820	692	678	736	743	738	726	723	517	484	455
Turks and Caicos Islands	TCA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	14	14	15	15	14
Tuvalu	TUV	NA	NA	NA	NA	NA	3	3	3	3	3	3	3	3	3	3	NA	3	2	2	NA	NA	1	1	2	2	2
Uganda	UGA	58820	39386	32456	33415	31450	24166	28339	55241	13301	13937	32414	40141	40425	35247	31963	34225	21752	21341	7548	7554	6441	5680	5608	8177	7191	6316
Ukraine	UKR	NA	NA	38	134	915	1701	6107	6348	4596	12236	19312	26716	85265	94148	89579	84228	63723	25985	28424	24522	25111	25379	25256	5172	237625	321300
